State,National Remoteness Areas,SA4 Name 2021,National LGA Name 2024,National Road Type
NSW,Inner Regional Australia,Riverina,Wagga Wagga,Sub-arterial Road
NSW,Inner Regional Australia,Central West,Lithgow,National or State Highway
NSW,Major Cities of Australia,Sydney - Outer South West,Campbelltown (NSW),National or State Highway
VIC,Inner Regional Australia,Warrnambool and South West,Moyne,National or State Highway
QLD,Outer Regional Australia,Cairns,Cairns,Sub-arterial Road
QLD,Major Cities of Australia,Sunshine Coast,Sunshine Coast,Local Road
NSW,Outer Regional Australia,Far West and Orana,Warrumbungle,Local Road
QLD,Outer Regional Australia,Mackay - Isaac - Whitsunday,Whitsunday,National or State Highway
NSW,Outer Regional Australia,Hunter Valley exc Newcastle,Upper Hunter,Arterial Road
QLD,Major Cities of Australia,Sunshine Coast,Noosa,Sub-arterial Road
NSW,Major Cities of Australia,Newcastle and Lake Macquarie,Port Stephens,Arterial Road
SA,Major Cities of Australia,Adelaide - North,Gawler,Collector Road
VIC,Inner Regional Australia,Hume,Alpine,Local Road
NSW,Inner Regional Australia,Central West,Cabonne,Local Road
QLD,Major Cities of Australia,Ipswich,Brisbane,Collector Road
VIC,Inner Regional Australia,Latrobe - Gippsland,Baw Baw,Local Road
QLD,Remote Australia,Mackay - Isaac - Whitsunday,Isaac,National or State Highway
QLD,Major Cities of Australia,Sunshine Coast,Sunshine Coast,National or State Highway
QLD,Remote Australia,Darling Downs - Maranoa,Maranoa,National or State Highway
VIC,Outer Regional Australia,Warrnambool and South West,Southern Grampians,National or State Highway
QLD,Major Cities of Australia,Moreton Bay - North,Moreton Bay,Sub-arterial Road
NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Cessnock,Arterial Road
QLD,Inner Regional Australia,Logan - Beaudesert,Scenic Rim,National or State Highway
QLD,Inner Regional Australia,Ipswich,Somerset,Local Road
QLD,Remote Australia,Townsville,Hinchinbrook,Access road
QLD,Inner Regional Australia,Logan - Beaudesert,Scenic Rim,Sub-arterial Road
QLD,Inner Regional Australia,Mackay - Isaac - Whitsunday,Mackay,Collector Road
SA,Major Cities of Australia,Adelaide - North,Playford,National or State Highway
NSW,Very Remote Australia,Far West and Orana,Cobar,National or State Highway
QLD,Outer Regional Australia,Wide Bay,South Burnett,Local Road
VIC,Outer Regional Australia,North West,Ararat,National or State Highway
QLD,Inner Regional Australia,Ipswich,Somerset,Sub-arterial Road
NSW,Major Cities of Australia,Sydney - Outer South West,Campbelltown (NSW),Collector Road
SA,Inner Regional Australia,Adelaide - Central and Hills,Adelaide Hills,Sub-arterial Road
NSW,Outer Regional Australia,Capital Region,Bega Valley,National or State Highway
SA,Major Cities of Australia,Adelaide - North,Tea Tree Gully,Sub-arterial Road
QLD,Major Cities of Australia,Moreton Bay - North,Moreton Bay,Local Road
NSW,Inner Regional Australia,Illawarra,Kiama,Arterial Road
VIC,Outer Regional Australia,Warrnambool and South West,Moyne,Local Road
NSW,Inner Regional Australia,Sydney - Outer South West,Wollondilly,Arterial Road
QLD,Inner Regional Australia,Ipswich,Scenic Rim,Sub-arterial Road
VIC,Major Cities of Australia,Melbourne - South East,Casey,Arterial Road
QLD,Outer Regional Australia,Central Queensland,Gladstone,Collector Road
SA,Outer Regional Australia,Barossa - Yorke - Mid North,Northern Areas,Arterial Road
QLD,Outer Regional Australia,Cairns,Tablelands,Sub-arterial Road
NSW,Major Cities of Australia,Sydney - City and Inner South,Sydney,National or State Highway
VIC,Inner Regional Australia,Hume,Murrindindi,National or State Highway
SA,Major Cities of Australia,Adelaide - West,Port Adelaide Enfield,Local Road
NSW,Inner Regional Australia,Murray,Albury,National or State Highway
QLD,Major Cities of Australia,Gold Coast,Gold Coast,Sub-arterial Road
VIC,Major Cities of Australia,Melbourne - Inner East,Boroondara,Arterial Road
QLD,Major Cities of Australia,Brisbane - East,Redland,Sub-arterial Road
ACT,Major Cities of Australia,Australian Capital Territory,Unincorporated ACT,Collector Road
SA,Inner Regional Australia,Adelaide - North,Playford,Collector Road
VIC,Inner Regional Australia,Latrobe - Gippsland,South Gippsland,National or State Highway
QLD,Outer Regional Australia,Townsville,Hinchinbrook,Local Road
VIC,Major Cities of Australia,Melbourne - Inner East,Boroondara,Local Road
QLD,Inner Regional Australia,Wide Bay,Fraser Coast,Collector Road
VIC,Inner Regional Australia,Melbourne - Outer East,Yarra Ranges,Sub-arterial Road
VIC,Inner Regional Australia,Warrnambool and South West,Colac Otway,Access road
NSW,Outer Regional Australia,Capital Region,Bega Valley,Arterial Road
VIC,Inner Regional Australia,Geelong,Surf Coast,Local Road
SA,Inner Regional Australia,Adelaide - Central and Hills,Mount Barker,Arterial Road
QLD,Major Cities of Australia,Brisbane - East,Brisbane,Sub-arterial Road
NSW,Major Cities of Australia,Hunter Valley exc Newcastle,Cessnock,Local Road
NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Maitland,National or State Highway
NSW,Outer Regional Australia,Murray,Federation,Sub-arterial Road
TAS,Inner Regional Australia,Hobart,Hobart,Local Road
SA,Major Cities of Australia,Adelaide - South,Mitcham,Collector Road
NSW,Inner Regional Australia,Coffs Harbour - Grafton,Clarence Valley,Sub-arterial Road
SA,Major Cities of Australia,Adelaide - Central and Hills,Adelaide,Sub-arterial Road
NSW,Major Cities of Australia,Sydney - Outer West and Blue Mountains,Penrith,Arterial Road
QLD,Major Cities of Australia,Brisbane - South,Brisbane,National or State Highway
NSW,Inner Regional Australia,Richmond - Tweed,Lismore,Local Road
VIC,Inner Regional Australia,Shepparton,Greater Shepparton,Sub-arterial Road
VIC,Major Cities of Australia,Melbourne - North West,Merri-bek,Sub-arterial Road
NSW,Outer Regional Australia,Riverina,Narrandera,Local Road
QLD,Major Cities of Australia,Logan - Beaudesert,Logan,Local Road
TAS,Outer Regional Australia,South East,Huon Valley,Sub-arterial Road
NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Cessnock,Sub-arterial Road
NSW,Outer Regional Australia,Riverina,Griffith,Local Road
VIC,Inner Regional Australia,Hume,Wodonga,Local Road
QLD,Major Cities of Australia,Sunshine Coast,Sunshine Coast,Access road
NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Mid-Coast,Arterial Road
VIC,Major Cities of Australia,Melbourne - Inner,Darebin,Local Road
VIC,Inner Regional Australia,Hume,Murrindindi,Sub-arterial Road
VIC,Inner Regional Australia,Ballarat,Ballarat,Sub-arterial Road
NSW,Inner Regional Australia,Southern Highlands and Shoalhaven,Wingecarribee,Local Road
VIC,Inner Regional Australia,Melbourne - South East,Cardinia,Access road
QLD,Inner Regional Australia,Central Queensland,Rockhampton,Local Road
VIC,Major Cities of Australia,Melbourne - Outer East,Maroondah,Local Road
NSW,Inner Regional Australia,Murray,Albury,Arterial Road
NSW,Major Cities of Australia,Richmond - Tweed,Tweed,Local Road
QLD,Outer Regional Australia,Wide Bay,North Burnett,National or State Highway
NSW,Remote Australia,New England and North West,Moree Plains,Sub-arterial Road
TAS,Outer Regional Australia,South East,Huon Valley,National or State Highway
VIC,Major Cities of Australia,Mornington Peninsula,Mornington Peninsula,Collector Road
NSW,Major Cities of Australia,Sydney - South West,Fairfield,Local Road
SA,Major Cities of Australia,Adelaide - Central and Hills,Unley,Sub-arterial Road
SA,Inner Regional Australia,South Australia - South East,Alexandrina,Arterial Road
VIC,Inner Regional Australia,Melbourne - Outer East,Yarra Ranges,Arterial Road
QLD,Outer Regional Australia,Wide Bay,Gympie,Local Road
VIC,Major Cities of Australia,Melbourne - West,Melton,National or State Highway
VIC,Major Cities of Australia,Mornington Peninsula,Frankston,Local Road
QLD,Outer Regional Australia,Townsville,Burdekin,National or State Highway
VIC,Major Cities of Australia,Melbourne - Outer East,Knox,Local Road
NSW,Inner Regional Australia,Mid North Coast,Mid-Coast,Sub-arterial Road
VIC,Inner Regional Australia,Melbourne - North East,Whittlesea,Arterial Road
QLD,Very Remote Australia,Queensland - Outback,Mareeba,Local Road
QLD,Outer Regional Australia,Darling Downs - Maranoa,Western Downs,Local Road
VIC,Inner Regional Australia,Melbourne - Outer East,Yarra Ranges,Local Road
VIC,Major Cities of Australia,Melbourne - South East,Monash,Arterial Road
NSW,Very Remote Australia,Far West and Orana,Unincorporated NSW,National or State Highway
QLD,Inner Regional Australia,Wide Bay,South Burnett,Local Road
NSW,Major Cities of Australia,Sydney - Blacktown,Blacktown,Local Road
NSW,Major Cities of Australia,Sydney - Parramatta,Cumberland,Collector Road
QLD,Very Remote Australia,Queensland - Outback,Barcaldine,Local Road
VIC,Major Cities of Australia,Melbourne - West,Wyndham,Arterial Road
NSW,Outer Regional Australia,New England and North West,Glen Innes Severn,National or State Highway
NSW,Inner Regional Australia,Richmond - Tweed,Lismore,National or State Highway
VIC,Inner Regional Australia,Melbourne - Outer East,Yarra Ranges,National or State Highway
NSW,Major Cities of Australia,Sydney - Northern Beaches,Northern Beaches,Arterial Road
QLD,Outer Regional Australia,Townsville,Townsville,Local Road
QLD,Outer Regional Australia,Central Queensland,Livingstone,National or State Highway
VIC,Inner Regional Australia,Shepparton,Greater Shepparton,Arterial Road
VIC,Major Cities of Australia,Melbourne - Outer East,Yarra Ranges,Sub-arterial Road
VIC,Inner Regional Australia,Ballarat,Golden Plains,Arterial Road
QLD,Very Remote Australia,Queensland - Outback,Cook,Sub-arterial Road
QLD,Major Cities of Australia,Ipswich,Ipswich,Sub-arterial Road
TAS,Inner Regional Australia,Hobart,Clarence,Arterial Road
NSW,Major Cities of Australia,Sydney - Inner South West,Georges River,Arterial Road
NSW,Major Cities of Australia,Hunter Valley exc Newcastle,Maitland,Arterial Road
NSW,Inner Regional Australia,Murray,Greater Hume,Arterial Road
VIC,Major Cities of Australia,Melbourne - South East,Kingston (Vic.),Local Road
VIC,Major Cities of Australia,Melbourne - Inner East,Manningham,Arterial Road
QLD,Major Cities of Australia,Sunshine Coast,Sunshine Coast,Sub-arterial Road
NSW,Inner Regional Australia,Central West,Bathurst,National or State Highway
SA,Remote Australia,South Australia - Outback,Wudinna,National or State Highway
NSW,Outer Regional Australia,New England and North West,Inverell,Arterial Road
VIC,Major Cities of Australia,Melbourne - West,Brimbank,Arterial Road
VIC,Major Cities of Australia,Melbourne - North East,Darebin,Collector Road
NSW,Major Cities of Australia,Sydney - Outer West and Blue Mountains,Penrith,Local Road
SA,Major Cities of Australia,Adelaide - West,Charles Sturt,Collector Road
TAS,Very Remote Australia,Launceston and North East,Flinders (Tas.),Arterial Road
QLD,Inner Regional Australia,Ipswich,Scenic Rim,Collector Road
TAS,Outer Regional Australia,West and North West,Burnie,Arterial Road
VIC,Major Cities of Australia,Mornington Peninsula,Mornington Peninsula,Pedestrian Thoroughfare
NSW,Outer Regional Australia,New England and North West,Armidale,Access road
VIC,Inner Regional Australia,Ballarat,Ballarat,Arterial Road
NSW,Inner Regional Australia,Far West and Orana,Dubbo,Sub-arterial Road
VIC,Major Cities of Australia,Melbourne - West,Melton,Local Road
QLD,Major Cities of Australia,Gold Coast,Gold Coast,Local Road
VIC,Major Cities of Australia,Melbourne - North East,Darebin,Local Road
QLD,Major Cities of Australia,Ipswich,Ipswich,Local Road
VIC,Major Cities of Australia,Geelong,Greater Geelong,Sub-arterial Road
SA,Major Cities of Australia,Adelaide - Central and Hills,Adelaide Hills,Collector Road
VIC,Major Cities of Australia,Melbourne - South East,Cardinia,National or State Highway
QLD,Outer Regional Australia,Mackay - Isaac - Whitsunday,Whitsunday,Sub-arterial Road
VIC,Inner Regional Australia,Hume,Mitchell,Collector Road
VIC,Major Cities of Australia,Melbourne - West,Wyndham,Local Road
SA,Inner Regional Australia,Adelaide - South,Onkaparinga,Collector Road
VIC,Major Cities of Australia,Melbourne - Inner South,Stonnington,Sub-arterial Road
SA,Very Remote Australia,South Australia - Outback,Unincorporated SA,National or State Highway
TAS,Outer Regional Australia,Launceston and North East,Launceston,Collector Road
