State,National Remoteness Areas,SA4 Name 2021,National LGA Name 2024,National Road Type
VIC,Inner Regional Australia,Hume,Benalla,National or State Highway
NSW,Major Cities of Australia,Sydney - Baulkham Hills and Hawkesbury,Hornsby,Local Road
NSW,Major Cities of Australia,Sydney - Outer South West,Campbelltown (NSW),Local Road
NSW,Inner Regional Australia,Mid North Coast,Nambucca Valley,Access road
VIC,Outer Regional Australia,Warrnambool and South West,Moyne,National or State Highway
NSW,Inner Regional Australia,Mid North Coast,Kempsey,Local Road
NSW,Outer Regional Australia,Riverina,Carrathool,National or State Highway
QLD,Very Remote Australia,Queensland - Outback,Barcoo,Collector Road
NSW,Inner Regional Australia,Central West,Bathurst,Sub-arterial Road
NSW,Inner Regional Australia,Richmond - Tweed,Ballina,Arterial Road
TAS,Outer Regional Australia,West and North West,Circular Head,Sub-arterial Road
QLD,Outer Regional Australia,Queensland - Outback,Mareeba,Sub-arterial Road
QLD,Outer Regional Australia,Mackay - Isaac - Whitsunday,Isaac,Collector Road
SA,Outer Regional Australia,South Australia - South East,Wattle Range,Collector Road
VIC,Major Cities of Australia,Melbourne - West,Brimbank,Local Road
SA,Inner Regional Australia,South Australia - South East,Mid Murray,Local Road
VIC,Inner Regional Australia,Latrobe - Gippsland,Baw Baw,Sub-arterial Road
SA,Major Cities of Australia,Adelaide - North,Port Adelaide Enfield,Sub-arterial Road
VIC,Major Cities of Australia,Melbourne - West,Hobsons Bay,Local Road
NSW,Outer Regional Australia,Riverina,Temora,Sub-arterial Road
TAS,Outer Regional Australia,West and North West,Latrobe (Tas.),Collector Road
QLD,Inner Regional Australia,Darling Downs - Maranoa,Toowoomba,Collector Road
SA,Remote Australia,South Australia - South East,Tatiara,Collector Road
VIC,Major Cities of Australia,Melbourne - West,Wyndham,Collector Road
VIC,Major Cities of Australia,Melbourne - Inner,Yarra,National or State Highway
SA,Major Cities of Australia,Adelaide - North,Playford,Local Road
NSW,Outer Regional Australia,New England and North West,Liverpool Plains,Local Road
QLD,Inner Regional Australia,Sunshine Coast,Noosa,National or State Highway
SA,Outer Regional Australia,South Australia - South East,Karoonda East Murray,Arterial Road
QLD,Remote Australia,Darling Downs - Maranoa,Maranoa,Local Road
QLD,Inner Regional Australia,Central Queensland,Livingstone,Sub-arterial Road
NSW,Inner Regional Australia,Richmond - Tweed,Byron,National or State Highway
SA,Outer Regional Australia,South Australia - Outback,Port Augusta,Local Road
QLD,Inner Regional Australia,Wide Bay,Fraser Coast,Access road
VIC,Outer Regional Australia,Latrobe - Gippsland,Unincorporated Vic,Access road
NSW,Inner Regional Australia,Central West,Mid-Western,National or State Highway
VIC,Outer Regional Australia,North West,Gannawarra,National or State Highway
SA,Major Cities of Australia,Adelaide - South,Marion,Sub-arterial Road
QLD,Outer Regional Australia,Central Queensland,Banana,National or State Highway
VIC,Outer Regional Australia,North West,Buloke,National or State Highway
NSW,Outer Regional Australia,New England and North West,Moree Plains,Local Road
NSW,Inner Regional Australia,Sydney - Outer West and Blue Mountains,Blue Mountains,National or State Highway
NSW,Outer Regional Australia,Riverina,Griffith,Sub-arterial Road
NSW,Inner Regional Australia,Richmond - Tweed,Lismore,Arterial Road
SA,Very Remote Australia,South Australia - Outback,Ceduna,Collector Road
NSW,Major Cities of Australia,Sydney - Ryde,Parramatta,Arterial Road
NSW,Major Cities of Australia,Sydney - North Sydney and Hornsby,Ku-ring-gai,Collector Road
VIC,Outer Regional Australia,North West,Northern Grampians,Arterial Road
TAS,Inner Regional Australia,Hobart,Derwent Valley,National or State Highway
NSW,Inner Regional Australia,New England and North West,Tamworth,National or State Highway
SA,Outer Regional Australia,South Australia - South East,Grant,Sub-arterial Road
QLD,Major Cities of Australia,Moreton Bay - South,Moreton Bay,Collector Road
NSW,Major Cities of Australia,Sydney - North Sydney and Hornsby,Hornsby,Collector Road
NSW,Inner Regional Australia,Central West,Mid-Western,Access road
NSW,Major Cities of Australia,Sydney - Ryde,Parramatta,Collector Road
QLD,Remote Australia,Mackay - Isaac - Whitsunday,Whitsunday,Sub-arterial Road
NSW,Major Cities of Australia,Sydney - Baulkham Hills and Hawkesbury,The Hills,Arterial Road
NSW,Inner Regional Australia,Illawarra,Shellharbour,National or State Highway
VIC,Outer Regional Australia,North West,Swan Hill,National or State Highway
NT,Outer Regional Australia,Darwin,Darwin,Arterial Road
TAS,Inner Regional Australia,Launceston and North East,Launceston,Arterial Road
NSW,Major Cities of Australia,Sydney - Sutherland,Sutherland,Arterial Road
VIC,Inner Regional Australia,Geelong,Golden Plains,Sub-arterial Road
QLD,Outer Regional Australia,Townsville,Townsville,Collector Road
NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Port Stephens,Local Road
VIC,Major Cities of Australia,Mornington Peninsula,Frankston,National or State Highway
QLD,Inner Regional Australia,Logan - Beaudesert,Logan,Sub-arterial Road
VIC,Major Cities of Australia,Melbourne - Inner,Melbourne,Local Road
VIC,Major Cities of Australia,Melbourne - North East,Darebin,Arterial Road
VIC,Inner Regional Australia,Geelong,Golden Plains,Local Road
TAS,Inner Regional Australia,Hobart,Brighton,Arterial Road
VIC,Outer Regional Australia,Latrobe - Gippsland,Baw Baw,Access road
NT,Very Remote Australia,Northern Territory - Outback,Central Desert,Sub-arterial Road
NSW,Major Cities of Australia,Sydney - City and Inner South,Sydney,Local Road
NSW,Inner Regional Australia,Capital Region,Goulburn Mulwaree,Local Road
VIC,Major Cities of Australia,Melbourne - South East,Monash,Sub-arterial Road
NSW,Inner Regional Australia,Sydney - Outer South West,Sutherland,Arterial Road
VIC,Inner Regional Australia,Bendigo,Macedon Ranges,Sub-arterial Road
NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Cessnock,National or State Highway
VIC,Major Cities of Australia,Melbourne - North West,Hume,Collector Road
NSW,Outer Regional Australia,Mid North Coast,Kempsey,Arterial Road
SA,Major Cities of Australia,Adelaide - South,Mitcham,Sub-arterial Road
NSW,Inner Regional Australia,Southern Highlands and Shoalhaven,Wingecarribee,National or State Highway
VIC,Inner Regional Australia,Hume,Strathbogie,National or State Highway
NSW,Inner Regional Australia,Southern Highlands and Shoalhaven,Shoalhaven,Local Road
SA,Inner Regional Australia,South Australia - South East,Murray Bridge,National or State Highway
NSW,Remote Australia,Far West and Orana,Coonamble,Sub-arterial Road
SA,Outer Regional Australia,South Australia - South East,Coorong,National or State Highway
QLD,Inner Regional Australia,Central Queensland,Gladstone,Sub-arterial Road
QLD,Outer Regional Australia,Darling Downs - Maranoa,Goondiwindi,Sub-arterial Road
SA,Very Remote Australia,South Australia - Outback,Wudinna,National or State Highway
QLD,Very Remote Australia,Queensland - Outback,Murweh,Sub-arterial Road
TAS,Inner Regional Australia,Hobart,Clarence,National or State Highway
VIC,Major Cities of Australia,Melbourne - North East,Whittlesea,Collector Road
NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Port Stephens,National or State Highway
NSW,Major Cities of Australia,Sydney - Ryde,Ryde,National or State Highway
NSW,Outer Regional Australia,Capital Region,Eurobodalla,National or State Highway
SA,Outer Regional Australia,South Australia - South East,Renmark Paringa,Sub-arterial Road
SA,Outer Regional Australia,South Australia - South East,Loxton Waikerie,National or State Highway
NSW,Inner Regional Australia,Murray,Federation,Local Road
TAS,Outer Regional Australia,West and North West,Central Coast (Tas.),National or State Highway
NSW,Inner Regional Australia,Central West,Orange,National or State Highway
NSW,Outer Regional Australia,Murray,Berrigan,Arterial Road
SA,Major Cities of Australia,Adelaide - Central and Hills,Norwood Payneham and St Peters,Local Road
TAS,Outer Regional Australia,Hobart,Sorell,National or State Highway
NSW,Outer Regional Australia,Coffs Harbour - Grafton,Clarence Valley,Arterial Road
NSW,Inner Regional Australia,Capital Region,Snowy Monaro,National or State Highway
NSW,Major Cities of Australia,Capital Region,Yass Valley,National or State Highway
NT,Very Remote Australia,Northern Territory - Outback,MacDonnell,Sub-arterial Road
NSW,Inner Regional Australia,Riverina,Wagga Wagga,National or State Highway
SA,Major Cities of Australia,Adelaide - South,Onkaparinga,Sub-arterial Road
TAS,Outer Regional Australia,Launceston and North East,George Town,National or State Highway
NSW,Inner Regional Australia,Sydney - Outer South West,Wollondilly,National or State Highway
VIC,Major Cities of Australia,Melbourne - North East,Banyule,Sub-arterial Road
SA,Major Cities of Australia,Adelaide - North,Salisbury,National or State Highway
NSW,Outer Regional Australia,Capital Region,Snowy Monaro,Arterial Road
NSW,Major Cities of Australia,Sydney - Baulkham Hills and Hawkesbury,Hawkesbury,Local Road
NSW,Outer Regional Australia,Riverina,Leeton,Local Road
NSW,Remote Australia,Murray,Balranald,Arterial Road
NSW,Inner Regional Australia,Mid North Coast,Port Macquarie-Hastings,Arterial Road
TAS,Outer Regional Australia,Launceston and North East,Dorset,Arterial Road
QLD,Inner Regional Australia,Gold Coast,Scenic Rim,Sub-arterial Road
SA,Inner Regional Australia,Barossa - Yorke - Mid North,Barossa,Collector Road
NSW,Major Cities of Australia,Hunter Valley exc Newcastle,Maitland,Local Road
NSW,Inner Regional Australia,Richmond - Tweed,Kyogle,Arterial Road
NSW,Major Cities of Australia,Newcastle and Lake Macquarie,Newcastle,National or State Highway
QLD,Major Cities of Australia,Moreton Bay - South,Moreton Bay,Sub-arterial Road
QLD,Major Cities of Australia,Ipswich,Brisbane,National or State Highway
SA,Outer Regional Australia,South Australia - South East,Renmark Paringa,National or State Highway
NSW,Major Cities of Australia,Sydney - Ryde,Parramatta,Local Road
VIC,Major Cities of Australia,Melbourne - North West,Hume,National or State Highway
NSW,Inner Regional Australia,New England and North West,Tamworth,Arterial Road
SA,Major Cities of Australia,Adelaide - Central and Hills,Adelaide,Access road
NSW,Inner Regional Australia,Coffs Harbour - Grafton,Coffs Harbour,Arterial Road
NSW,Outer Regional Australia,Mid North Coast,Port Macquarie-Hastings,National or State Highway
VIC,Inner Regional Australia,Hume,Wangaratta,Local Road
NSW,Outer Regional Australia,Murray,Murray River,Sub-arterial Road
QLD,Inner Regional Australia,Darling Downs - Maranoa,Southern Downs,Collector Road
TAS,Outer Regional Australia,South East,Kingborough,Sub-arterial Road
NT,Very Remote Australia,Northern Territory - Outback,Victoria Daly,National or State Highway
VIC,Major Cities of Australia,Geelong,Greater Geelong,National or State Highway
NSW,Major Cities of Australia,Illawarra,Shellharbour,Arterial Road
SA,Outer Regional Australia,Barossa - Yorke - Mid North,Barunga West,Local Road
NSW,Inner Regional Australia,Southern Highlands and Shoalhaven,Shoalhaven,Arterial Road
SA,Outer Regional Australia,South Australia - South East,Wattle Range,Sub-arterial Road
VIC,Inner Regional Australia,Latrobe - Gippsland,Baw Baw,National or State Highway
NSW,Major Cities of Australia,Sydney - Ryde,Hornsby,Local Road
TAS,Inner Regional Australia,Launceston and North East,Launceston,National or State Highway
SA,Remote Australia,South Australia - Outback,Unincorporated SA,Arterial Road
VIC,Major Cities of Australia,Melbourne - Inner,Merri-bek,Sub-arterial Road
SA,Inner Regional Australia,South Australia - South East,Alexandrina,Local Road
SA,Outer Regional Australia,Barossa - Yorke - Mid North,Copper Coast,Arterial Road
QLD,Inner Regional Australia,Ipswich,Somerset,National or State Highway
TAS,Outer Regional Australia,West and North West,Burnie,Collector Road
NSW,Inner Regional Australia,Riverina,Lockhart,Arterial Road
SA,Outer Regional Australia,South Australia - South East,Naracoorte Lucindale,Arterial Road
NSW,Outer Regional Australia,New England and North West,Narrabri,National or State Highway
SA,Remote Australia,South Australia - South East,Southern Mallee,Local Road
NSW,Inner Regional Australia,Murray,Greater Hume,Sub-arterial Road
NSW,Outer Regional Australia,New England and North West,Gwydir,Local Road
NSW,Inner Regional Australia,Sydney - Outer South West,Wollondilly,Local Road
NSW,Inner Regional Australia,New England and North West,Glen Innes Severn,Local Road
NSW,Outer Regional Australia,Far West and Orana,Dubbo,Arterial Road
NSW,Inner Regional Australia,Sydney - Baulkham Hills and Hawkesbury,Hornsby,Arterial Road
TAS,Outer Regional Australia,West and North West,Kentish,Sub-arterial Road
SA,Inner Regional Australia,Barossa - Yorke - Mid North,Goyder,Local Road
SA,Major Cities of Australia,Adelaide - South,Marion,National or State Highway
VIC,Major Cities of Australia,Melbourne - North West,Brimbank,National or State Highway
QLD,Major Cities of Australia,Ipswich,Brisbane,Local Road
VIC,Major Cities of Australia,Melbourne - Outer East,Maroondah,National or State Highway
VIC,Major Cities of Australia,Melbourne - Inner,Melbourne,Collector Road
SA,Inner Regional Australia,Adelaide - North,Adelaide Plains,National or State Highway
SA,Outer Regional Australia,South Australia - Outback,Flinders Ranges,Arterial Road
SA,Inner Regional Australia,Adelaide - North,Adelaide Plains,Collector Road
SA,Inner Regional Australia,Barossa - Yorke - Mid North,Light,Local Road
VIC,Outer Regional Australia,Shepparton,Moira,National or State Highway
VIC,Inner Regional Australia,Hume,Murrindindi,Access road
VIC,Outer Regional Australia,North West,West Wimmera,National or State Highway
VIC,Inner Regional Australia,Latrobe - Gippsland,South Gippsland,Local Road
SA,Inner Regional Australia,Adelaide - Central and Hills,Adelaide Hills,Collector Road
NSW,Outer Regional Australia,New England and North West,Tenterfield,Local Road
VIC,Major Cities of Australia,Melbourne - Inner East,Whitehorse,National or State Highway
VIC,Inner Regional Australia,Geelong,Greater Geelong,Sub-arterial Road
QLD,Outer Regional Australia,Cairns,Mareeba,National or State Highway
NSW,Inner Regional Australia,Central Coast,Central Coast (NSW),National or State Highway
NSW,Major Cities of Australia,Newcastle and Lake Macquarie,Lake Macquarie,Sub-arterial Road
SA,Major Cities of Australia,Adelaide - Central and Hills,Campbelltown (SA),Local Road
SA,Outer Regional Australia,South Australia - South East,Naracoorte Lucindale,National or State Highway
VIC,Inner Regional Australia,Bendigo,Loddon,Arterial Road
NSW,Inner Regional Australia,Capital Region,Yass Valley,Arterial Road
NSW,Inner Regional Australia,Riverina,Wagga Wagga,Local Road
VIC,Outer Regional Australia,North West,Northern Grampians,Collector Road
TAS,Remote Australia,West and North West,West Coast,Arterial Road
NSW,Inner Regional Australia,Riverina,Junee,Access road
SA,Inner Regional Australia,South Australia - South East,Victor Harbor,National or State Highway
SA,Major Cities of Australia,Adelaide - North,Tea Tree Gully,Local Road
SA,Major Cities of Australia,Adelaide - Central and Hills,Burnside,Local Road
NT,Remote Australia,Northern Territory - Outback,Coomalie ,National or State Highway
SA,Inner Regional Australia,South Australia - South East,Victor Harbor,Collector Road
VIC,Major Cities of Australia,Melbourne - Outer East,Manningham,Sub-arterial Road
VIC,Outer Regional Australia,Warrnambool and South West,Corangamite,Arterial Road
VIC,Outer Regional Australia,Warrnambool and South West,Southern Grampians,Sub-arterial Road
NSW,Major Cities of Australia,Sydney - Ryde,Hunters Hill,Arterial Road
VIC,Inner Regional Australia,Geelong,Golden Plains,Access road
VIC,Major Cities of Australia,Melbourne - West,Brimbank,Collector Road
SA,Inner Regional Australia,Barossa - Yorke - Mid North,Wakefield,National or State Highway
NSW,Major Cities of Australia,Sydney - North Sydney and Hornsby,Hornsby,Local Road
VIC,Major Cities of Australia,Mornington Peninsula,Mornington Peninsula,National or State Highway
VIC,Outer Regional Australia,Hume,Benalla,Sub-arterial Road
NSW,Major Cities of Australia,Sydney - Outer West and Blue Mountains,Blue Mountains,Local Road
NSW,Inner Regional Australia,Murray,Greater Hume,Access road
SA,Inner Regional Australia,Adelaide - North,Playford,Sub-arterial Road
QLD,Outer Regional Australia,Central Queensland,Banana,Sub-arterial Road
QLD,Outer Regional Australia,Cairns,Douglas,Collector Road
NSW,Major Cities of Australia,Sydney - North Sydney and Hornsby,Mosman,Arterial Road
QLD,Major Cities of Australia,Brisbane - East,Redland,Collector Road
TAS,Outer Regional Australia,South East,Glamorgan-Spring Bay,National or State Highway
NSW,Inner Regional Australia,Central West,Lithgow,Arterial Road
NSW,Major Cities of Australia,Sydney - Outer West and Blue Mountains,Hawkesbury,Arterial Road
NSW,Inner Regional Australia,Sydney - Outer West and Blue Mountains,Penrith,Arterial Road
SA,Outer Regional Australia,Barossa - Yorke - Mid North,Wakefield,National or State Highway
NSW,Major Cities of Australia,Sydney - Inner West,Inner West,Arterial Road
NSW,Major Cities of Australia,Illawarra,Wollongong,Local Road
SA,Inner Regional Australia,South Australia - South East,Alexandrina,Sub-arterial Road
TAS,Outer Regional Australia,South East,Southern Midlands,National or State Highway
VIC,Outer Regional Australia,Hume,Towong,Collector Road
SA,Major Cities of Australia,Adelaide - Central and Hills,Campbelltown (SA),Sub-arterial Road
QLD,Outer Regional Australia,Cairns,Cassowary Coast,Local Road
NSW,Outer Regional Australia,New England and North West,Tamworth,Local Road
QLD,Major Cities of Australia,Brisbane - West,Brisbane,Local Road
NSW,Outer Regional Australia,Hunter Valley exc Newcastle,Upper Hunter,Sub-arterial Road
NSW,Inner Regional Australia,Murray,Albury,Sub-arterial Road
QLD,Outer Regional Australia,Logan - Beaudesert,Scenic Rim,National or State Highway
NSW,Outer Regional Australia,New England and North West,Armidale,Arterial Road
SA,Major Cities of Australia,Adelaide - North,Playford,Collector Road
QLD,Major Cities of Australia,Moreton Bay - North,Moreton Bay,Access road
VIC,Inner Regional Australia,Bendigo,Mount Alexander,Arterial Road
NSW,Major Cities of Australia,Sydney - North Sydney and Hornsby,North Sydney,Local Road
NSW,Outer Regional Australia,New England and North West,Tamworth,National or State Highway
NT,Very Remote Australia,Northern Territory - Outback,Roper Gulf,Sub-arterial Road
QLD,Major Cities of Australia,Brisbane - East,Brisbane,Local Road
QLD,Inner Regional Australia,Darling Downs - Maranoa,Western Downs,National or State Highway
TAS,Outer Regional Australia,Launceston and North East,Break O'Day,Collector Road
NSW,Major Cities of Australia,Sydney - Eastern Suburbs,Woollahra,Local Road
SA,Major Cities of Australia,Adelaide - Central and Hills,Prospect,Arterial Road
NSW,Outer Regional Australia,Riverina,Carrathool,Sub-arterial Road
SA,Major Cities of Australia,Adelaide - West,Port Adelaide Enfield,National or State Highway
NSW,Outer Regional Australia,Central West,Bland,Sub-arterial Road
NT,Very Remote Australia,Northern Territory - Outback,MacDonnell,Arterial Road
QLD,Outer Regional Australia,Cairns,Tablelands,Local Road
VIC,Outer Regional Australia,North West,Gannawarra,Sub-arterial Road
NSW,Inner Regional Australia,Sydney - Baulkham Hills and Hawkesbury,Hawkesbury,Sub-arterial Road
NSW,Major Cities of Australia,Sydney - Ryde,Parramatta,Pedestrian Thoroughfare
VIC,Inner Regional Australia,Hume,Wodonga,Sub-arterial Road
TAS,Outer Regional Australia,South East,Southern Midlands,Local Road
NSW,Inner Regional Australia,Coffs Harbour - Grafton,Clarence Valley,Local Road
QLD,Inner Regional Australia,Ipswich,Lockyer Valley,Sub-arterial Road
SA,Outer Regional Australia,Barossa - Yorke - Mid North,Mount Remarkable,Local Road
NSW,Remote Australia,Murray,Balranald,Local Road
QLD,Outer Regional Australia,Cairns,Douglas,Sub-arterial Road
VIC,Major Cities of Australia,Mornington Peninsula,Mornington Peninsula,Local Road
QLD,Inner Regional Australia,Mackay - Isaac - Whitsunday,Mackay,Access road
SA,Inner Regional Australia,South Australia - South East,Murray Bridge,Arterial Road
NSW,Major Cities of Australia,Hunter Valley exc Newcastle,Maitland,Sub-arterial Road
VIC,Inner Regional Australia,Latrobe - Gippsland,Latrobe (Vic.),Access road
QLD,Remote Australia,Queensland - Outback,Mareeba,Collector Road
VIC,Major Cities of Australia,Melbourne - West,Maribyrnong,Local Road
NSW,Outer Regional Australia,Riverina,Griffith,Arterial Road
VIC,Major Cities of Australia,Melbourne - Outer East,Manningham,Collector Road
TAS,Inner Regional Australia,Hobart,Brighton,National or State Highway
TAS,Inner Regional Australia,Launceston and North East,Northern Midlands,Sub-arterial Road
VIC,Remote Australia,North West,Mildura,Local Road
QLD,Remote Australia,Queensland - Outback,Cook,Local Road
NSW,Outer Regional Australia,Central West,Parkes,National or State Highway
TAS,Outer Regional Australia,Launceston and North East,Launceston,National or State Highway
QLD,Major Cities of Australia,Brisbane - East,Brisbane,Collector Road
QLD,Outer Regional Australia,Darling Downs - Maranoa,Southern Downs,National or State Highway
VIC,Outer Regional Australia,Latrobe - Gippsland,Wellington,National or State Highway
VIC,Major Cities of Australia,Melbourne - Inner,Port Phillip,Local Road
VIC,Major Cities of Australia,Melbourne - West,Hobsons Bay,Arterial Road
NSW,Outer Regional Australia,Central West,Weddin,National or State Highway
NSW,Outer Regional Australia,Mid North Coast,Nambucca Valley,Sub-arterial Road
VIC,Outer Regional Australia,Latrobe - Gippsland,East Gippsland,National or State Highway
VIC,Inner Regional Australia,Ballarat,Ballarat,National or State Highway
VIC,Major Cities of Australia,Melbourne - North West,Merri-bek,Local Road
QLD,Very Remote Australia,Queensland - Outback,Northern Peninsula Area,Access road
NSW,Inner Regional Australia,Central West,Cowra,Sub-arterial Road
VIC,Major Cities of Australia,Melbourne - North East,Mitchell,Local Road
VIC,Inner Regional Australia,Warrnambool and South West,Corangamite,National or State Highway
NSW,Major Cities of Australia,Hunter Valley exc Newcastle,Maitland,National or State Highway
NSW,Inner Regional Australia,Sydney - Outer South West,Wingecarribee,Local Road
NSW,Outer Regional Australia,Richmond - Tweed,Kyogle,Arterial Road
NSW,Major Cities of Australia,Hunter Valley exc Newcastle,Port Stephens,Local Road
NSW,Major Cities of Australia,Sydney - Parramatta,Cumberland,National or State Highway
VIC,Outer Regional Australia,Warrnambool and South West,Corangamite,National or State Highway
VIC,Inner Regional Australia,Latrobe - Gippsland,South Gippsland,Sub-arterial Road
NT,Very Remote Australia,Northern Territory - Outback,Roper Gulf,National or State Highway
NSW,Major Cities of Australia,Sydney - Parramatta,Cumberland,Arterial Road
NSW,Outer Regional Australia,New England and North West,Tenterfield,Arterial Road
NT,Outer Regional Australia,Darwin,Unincorporated NT,Arterial Road
SA,Outer Regional Australia,Barossa - Yorke - Mid North,Copper Coast,Sub-arterial Road
VIC,Outer Regional Australia,Latrobe - Gippsland,East Gippsland,Sub-arterial Road
TAS,Inner Regional Australia,Hobart,Clarence,Sub-arterial Road
SA,Outer Regional Australia,Barossa - Yorke - Mid North,Orroroo Carrieton,Arterial Road
NSW,Outer Regional Australia,Capital Region,Eurobodalla,Local Road
NSW,Inner Regional Australia,Sydney - Outer West and Blue Mountains,Blue Mountains,Arterial Road
SA,Outer Regional Australia,South Australia - South East,Tatiara,Collector Road
NT,Very Remote Australia,Northern Territory - Outback,Barkly,Access road
VIC,Inner Regional Australia,Ballarat,Central Goldfields,Arterial Road
QLD,Remote Australia,Central Queensland,Central Highlands (Qld),National or State Highway
SA,Major Cities of Australia,Adelaide - North,Gawler,Sub-arterial Road
NSW,Outer Regional Australia,Murray,Federation,Arterial Road
NSW,Major Cities of Australia,Sydney - South West,Fairfield,Busway
VIC,Major Cities of Australia,Melbourne - North West,Moonee Valley,Sub-arterial Road
NT,Remote Australia,Northern Territory - Outback,Unincorporated NT,Sub-arterial Road
NT,Remote Australia,Northern Territory - Outback,Alice Springs,National or State Highway
QLD,Inner Regional Australia,Central Queensland,Livingstone,Local Road
NSW,Very Remote Australia,Far West and Orana,Central Darling,Arterial Road
QLD,Remote Australia,Darling Downs - Maranoa,Balonne,National or State Highway
VIC,Inner Regional Australia,Melbourne - West,Moorabool,Sub-arterial Road
NT,Very Remote Australia,Northern Territory - Outback,Roper Gulf,Access road
SA,Inner Regional Australia,Barossa - Yorke - Mid North,Wakefield,Sub-arterial Road
SA,Inner Regional Australia,Adelaide - Central and Hills,Mount Barker,Local Road
VIC,Inner Regional Australia,Hume,Murrindindi,Collector Road
VIC,Inner Regional Australia,Warrnambool and South West,Corangamite,Arterial Road
NSW,Major Cities of Australia,Sydney - Inner South West,Canterbury-Bankstown,National or State Highway
SA,Outer Regional Australia,South Australia - South East,Naracoorte Lucindale,Collector Road
NSW,Inner Regional Australia,Murray,Greater Hume,National or State Highway
TAS,Inner Regional Australia,Hobart,Kingborough,Collector Road
NSW,Inner Regional Australia,Sydney - Sutherland,Sutherland,National or State Highway
NSW,Major Cities of Australia,Sydney - Inner West,Inner West,National or State Highway
QLD,Inner Regional Australia,Central Queensland,Rockhampton,Sub-arterial Road
TAS,Inner Regional Australia,Hobart,Clarence,Collector Road
QLD,Very Remote Australia,Darling Downs - Maranoa,Maranoa,Local Road
SA,Outer Regional Australia,South Australia - South East,Grant,Arterial Road
VIC,Major Cities of Australia,Melbourne - Inner,Merri-bek,Arterial Road
VIC,Major Cities of Australia,Melbourne - West,Hobsons Bay,National or State Highway
VIC,Major Cities of Australia,Melbourne - Outer East,Yarra Ranges,National or State Highway
VIC,Outer Regional Australia,Bendigo,Loddon,Arterial Road
NSW,Remote Australia,Far West and Orana,Walgett,Arterial Road
VIC,Major Cities of Australia,Melbourne - West,Maribyrnong,Arterial Road
NSW,Outer Regional Australia,Riverina,Coolamon,Arterial Road
VIC,Major Cities of Australia,Melbourne - South East,Cardinia,Local Road
TAS,Outer Regional Australia,Launceston and North East,West Tamar,Collector Road
QLD,Remote Australia,Mackay - Isaac - Whitsunday,Whitsunday,Local Road
QLD,Very Remote Australia,Queensland - Outback,Bulloo,Sub-arterial Road
NSW,Outer Regional Australia,Coffs Harbour - Grafton,Bellingen,Arterial Road
NSW,Outer Regional Australia,Murray,Greater Hume,Arterial Road
QLD,Remote Australia,Central Queensland,Central Highlands (Qld),Sub-arterial Road
ACT,Major Cities of Australia,Australian Capital Territory,Unincorporated ACT,Access road
VIC,Inner Regional Australia,Warrnambool and South West,Corangamite,Local Road
NT,Very Remote Australia,Northern Territory - Outback,Central Desert,Access road
NSW,Major Cities of Australia,Sydney - North Sydney and Hornsby,Lane Cove,National or State Highway
NSW,Major Cities of Australia,Sydney - North Sydney and Hornsby,Willoughby,Collector Road
NT,Outer Regional Australia,Darwin,Litchfield,National or State Highway
SA,Very Remote Australia,South Australia - Outback,Unincorporated SA,Sub-arterial Road
NSW,Outer Regional Australia,New England and North West,Walcha,Local Road
NT,Very Remote Australia,Northern Territory - Outback,MacDonnell,National or State Highway
VIC,Inner Regional Australia,North West,Northern Grampians,National or State Highway
TAS,Outer Regional Australia,West and North West,Latrobe (Tas.),Sub-arterial Road
VIC,Inner Regional Australia,Hume,Mitchell,Arterial Road
NSW,Very Remote Australia,Far West and Orana,Bogan,National or State Highway
QLD,Major Cities of Australia,Brisbane - South,Brisbane,Access road
QLD,Very Remote Australia,Queensland - Outback,Cloncurry,Local Road
QLD,Inner Regional Australia,Mackay - Isaac - Whitsunday,Mackay,Local Road
NSW,Inner Regional Australia,Sydney - Baulkham Hills and Hawkesbury,The Hills,Collector Road
VIC,Outer Regional Australia,Latrobe - Gippsland,South Gippsland,Sub-arterial Road
NSW,Outer Regional Australia,Mid North Coast,Mid-Coast,Arterial Road
TAS,Inner Regional Australia,Launceston and North East,West Tamar,National or State Highway
NSW,Inner Regional Australia,Illawarra,Wollondilly,Arterial Road
TAS,Inner Regional Australia,Hobart,Sorell,Collector Road
NSW,Outer Regional Australia,Central West,Cabonne,National or State Highway
NSW,Major Cities of Australia,Sydney - City and Inner South,Bayside (NSW),Local Road
SA,Major Cities of Australia,Adelaide - Central and Hills,Mount Barker,Collector Road
NSW,Major Cities of Australia,Sydney - Eastern Suburbs,Woollahra,Arterial Road
SA,Remote Australia,South Australia - Outback,Cleve,Local Road
VIC,Major Cities of Australia,Melbourne - North East,Banyule,Arterial Road
SA,Inner Regional Australia,Barossa - Yorke - Mid North,Light,National or State Highway
VIC,Outer Regional Australia,North West,Mildura,Arterial Road
NSW,Major Cities of Australia,Sydney - Sutherland,Sutherland,Collector Road
VIC,Inner Regional Australia,Ballarat,Moorabool,Access road
TAS,Outer Regional Australia,West and North West,Burnie,Sub-arterial Road
TAS,Outer Regional Australia,West and North West,Central Coast (Tas.),Local Road
VIC,Major Cities of Australia,Melbourne - Inner,Melbourne,Sub-arterial Road
NSW,Major Cities of Australia,Sydney - Inner West,Burwood,Local Road
